"Brand","Variety","NoCams","Size","Colour","Weight","Strength","Min","Max"
"BD","C3","3","000","grey",55,4,7.8,12.9
"BD","C3","3","00","purple",57,6,9,13.7
"BD","C3","3","0","green",59,7,10.7,15.8
"BD","C3","3","1","red",62,10,12,18.8
"BD","C3","3","2","yellow",66,10,14.2,22.6
"BD","X4","4","0.1","red",51,5,8.4,13.8
"BD","X4","4","0.2","yellow",54,6,9.9,16.5
"BD","X4","4","0.3","blue",75,8,12.4,21.2
"BD","X4","4","0.4","grey",82,9,15.5,26.6
"BD","X4","4","0.5","purple",91,9,19.8,33.7
"BD","X4","4","0.75","green",112,9,24,41.2
"BD","C4","4","0.3","blue",75,8,13.8,23.4
"BD","C4","4","0.4","grey",83,10,15.5,26.7
"BD","C4","4","0.5","purple",99,12,19.6,33.5
"BD","C4","4","0.75","green",119,14,23.9,41.2
"BD","C4","4","1","red",136,14,30.2,52.1
"BD","C4","4","2","yellow",155,14,37.2,64.9
"BD","C4","4","3","blue",201,14,50.7,87.9
"BD","C4","4","4","grey",289,14,66,114.7
"BD","C4","4","5","purple",380,14,85.4,148.5
"BD","C4","4","6","green",557,14,114.1,195
"BD","UL","4","0.4","grey",61,8,15.5,26.7
"BD","UL","4","0.5","purple",74,10,19.6,33.5
"BD","UL","4","0.75","green",89,12,23.9,41.2
"BD","UL","4","1","red",101,12,30.2,52.1
"BD","UL","4","2","yellow",126,12,37.2,64.9
"BD","UL","4","3","blue",167,12,50.7,87.9
"BD","UL","4","4","grey",225,12,66,114.7
"Totemcam","Basic","4","0.5","blue",56,5,11.2,17.4
"Totemcam","Basic","4","0.65","green",60,7,13.6,21.4
"Totemcam","Basic","4","0.75","yellow",68,9,16.6,26.1
"Totemcam","Basic","4","0.95","red",72,11,19.9,31.6
"Totemcam","Totem","4","0.65","blue",75,8,13.8,22.5
"Totemcam","Totem","4","0.8","yellow",83,9,17,27.7
"Totemcam","Totem","4","1","purple",95,10,20.9,34.2
"Totemcam","Totem","4","1.25","green",109,13,25.7,42.3
"Totemcam","Totem","4","1.5","red",132.5,13,31.6,52.2
"Metolius","Master","4","00","grey",62,5,8.63601727203454,11.9380238760478
"Metolius","Master","4","0","purple",65,5,9.90601981203962,14.9860299720599
"Metolius","Master","4","1","blue",68,8,12.4460248920498,18.0340360680721
"Metolius","Master","4","2","yellow",70,10,15.748031496063,22.6060452120904
"Metolius","Master","4","3","orange",82,10,18.7960375920752,26.4160528321057
"Metolius","Master","4","4","red",90,10,23.6220472440945,33.5280670561341
"Metolius","Master","4","5","black",98,10,28.1940563881128,39.1160782321565
"Metolius","Master","4","6","green",110,10,33.2740665481331,46.990093980188
"Metolius","TCU","3","000","green",26,2.5,6.60401320802642,10.1600203200406
"Metolius","TCU","3","00","grey",41,5,8.63601727203454,11.9380238760478
"Metolius","TCU","3","0","purple",43,5,9.90601981203962,14.9860299720599
"Metolius","TCU","3","1","blue",50,8,12.4460248920498,18.0340360680721
"Metolius","TCU","3","2","yellow",57,10,15.748031496063,22.6060452120904
"Metolius","TCU","3","3","orange",59,10,18.7960375920752,26.4160528321057
"Metolius","TCU","3","4","red",68,10,23.6220472440945,33.5280670561341
"Metolius","Power","4","00","grey",45,5,8.63601727203454,11.9380238760478
"Metolius","Power","4","0","purple",48,5,9.90601981203962,14.9860299720599
"Metolius","Power","4","1","blue",54,8,12.4460248920498,18.0340360680721
"Metolius","Power","4","2","yellow",64,10,15.748031496063,22.6060452120904
"Metolius","Power","4","3","orange",68,10,18.7960375920752,26.4160528321057
"Metolius","Power","4","4","red",77,10,23.6220472440945,33.5280670561341
"Metolius","Power","4","5","black",86,10,28.1940563881128,39.1160782321565
"Metolius","Power","4","6","green",98,10,33.2740665481331,46.990093980188
"Metolius","Power","4","7","light blue",127,10,40.3860807721615,57.4041148082296
"Metolius","Power","4","8","light purple",150,10,49.0220980441961,71.1201422402845
"Metolius","Super","4","small","grey",184,12,41.9100838201676,63.500127000254
"Metolius","Super","4","medium","maroon",255,12,54.3561087122174,85.0901701803404
"Metolius","Super","4","large","dark blue",312,12,68.0721361442723,105.410210820422
"Metolius","Fat","4","2","yellow",70,10,15.748031496063,22.6060452120904
"Metolius","Fat","4","3","orange",73,10,18.7960375920752,26.4160528321057
"Metolius","Fat","4","4","red",85,10,23.6220472440945,33.5280670561341
"Metolius","Fat","4","5","black",99,10,28.1940563881128,39.1160782321565
"Metolius","Fat","4","6","green",110,10,33.2740665481331,46.990093980188
"Metolius","Fat","4","7","light blue",136,10,40.3860807721615,57.4041148082296
"Metolius","Fat","4","8","light purple",154,10,49.0220980441961,71.1201422402845
"DMM","3CU","3","0","blue",74,14,13,19
"DMM","3CU","3","0.5","red",80,14,17,24
"DMM","3CU","3","1","gold",84,14,19,29
"DMM","3CU","3","1.25","purple",87,14,21,33
"DMM","3CU","3","1.5","silver",88,14,23,35
"DMM","3CU","3","1.75","green",90,14,25,41
"DMM","4CU","4","0","blue",75,14,13,19
"DMM","4CU","4","0.5","red",80,14,17,24
"DMM","4CU","4","1","gold",93,14,19,29
"DMM","4CU","4","1.25","purple",96,14,21,33
"DMM","4CU","4","1.5","silver",97,14,23,35
"DMM","4CU","4","1.75","green",99,14,25,41
"DMM","4CU","4","2","red",110,14,29,44
"DMM","4CU","4","2.5","gold",123,14,33,55
"DMM","4CU","4","3","purple",151,14,43,66
"DMM","4CU","4","3.5","blue",185,14,51,82
"DMM","4CU","4","4","silver",224,14,64,100
"DMM","Demon","4","0","blue",75,14,13,19
"DMM","Demon","4","0.5","red",80,14,17,24
"DMM","Demon","4","1","gold",93,14,19,29
"DMM","Demon","4","1.5","silver",97,14,23,35
"DMM","Demon","4","2","red",110,14,29,44
"DMM","Demon","4","2.5","gold",123,14,33,55
"DMM","Demon","4","3","purple",151,14,43,66
"DMM","Demon","4","3.5","blue",185,14,51,82
"DMM","Demon","4","4","silver",224,14,64,100
"DMM","Dragon","4","00","blue",75,9,13.6,22.5
"DMM","Dragon","4","0","silver",85,12,16,26.7
"DMM","Dragon","4","1","purple",97,14,20,33
"DMM","Dragon","4","2","green",106,14,24,41
"DMM","Dragon","4","3","red",119,14,29,50
"DMM","Dragon","4","4","gold",148,14,38,64
"DMM","Dragon","4","5","blue",195,14,50,85
"DMM","Dragon","4","6","silver",276,14,68,114
